"fld_sid","fld_fname","fld_email","fld_activationcode","fld_pswd","fld_phone","fld_mobile","fld_city","fld_level0","fld_category","fld_level1","fld_subcategory","fld_brandname","fld_brand","fld_bstype","fld_description","fld_estyear","fld_address","fld_pincode","fld_slogo","fld_swebsite","fld_b99status","fld_delstatus","fld_userstatus"
"67","Dhasik Fire Protection Systems","dhasikfire@yahoo.co.in",,," 91 -452-2620666"," 91 -9442181856","Madurai","security and automation","10","Fire and Safety","4","HD Fire Protect","71","Dealers","V4 Fire Protection is dealing in this business for past several years. We deal with Fire Fighting Equipment Dealers Co2 Flooding Systems Fire Extinguisher Refill Fire Extinguishers Fire Fighting Suits Fire Hydrants Fire Sprinklers FM-200 Fire Suppression Systems and Smoke Detection Systems in Madurai.","1998","NO 232 EAST VELI STREET 1ST FLOOR Madurai City Madurai - 625001","625001","dhasik.jpg","www.dhasikfire.com","0","0","1"
"68","R and D Infotech","randdinfotech@in.com",,,," 91 -9843386869
9994368511","Madurai","security and automation","10","Safes","5","Godrej","62","Dealers","R and D Infotech we value the trust and beliefs vested in us by our clients and professional contacts and provide a dedicated service with an honest and direct approach in all our dealings. We are well known for our services in the market and are happy to have you as our customer. We deal with Access Control Systems Biometric Systems CCTV Fire Alarms and Time Attendance Systems.","2007","No. 42 Lakshmipuram
4th Street 1st Floor
Lakshmipuram
Madurai-625004","625004","RandD.jpg",,"0","0","1"
"69","Myilon Hardwares",,,," 91 -452-2342090
4370370"," 91 -9842174209
9842774206
9965574209","Madurai","security and automation","10","Safes","5","Godrej","62","Dealers","This Myilon Hardwares was started in 1995. On this hardwares there are many kinds of products ike faber baffle chimney etc are been saled in a quality and with warranty.","1994","No 298 Opposite To Ayyappan Temple
West Masi Street
Madurai Ho
Madurai - 625001","625001",,,"0","0","1"
"70","Myilon Hardwares",,,," 91 -452-2342090
4370370"," 91 -9842174209
9842774206
9965574209","Madurai","security and automation","10","Safes","5","Yale","185","Dealers","This Myilon Hardwares was started in 1995. On this hardwares there are many kinds of products ike faber baffle chimney etc are been saled in a quality and with warranty.","1994","No 298 Opposite To Ayyappan Temple
West Masi Street
Madurai Ho
Madurai - 625001","625001",,,"0","0","1"
"71","Usha Fire Safety","mdu.sales@ushafire.in",,,"91 452-6546101"," 91 -9840555607","Madurai","security and automation","10","Fire and Safety","4","HD Fire Protect","71","Dealers","Usha Fire Safety Equipment?s P Ltd the pioneer in saving people?s life and their lovable possessions has been serving people for more than two and half a decades. Started by a small group of ordinary people with extraordinary commitment in the cultural capital of South India Chennai in 1988 it has grown from strength to strength. This has been possible only because of the company?s commitment to Quality and Service.","1988","Plot No 180|A
Near Meenakshi Mission Hospital
Lake Area
Melur
Madurai - 625106","625106","ushafire.jpg","www.ushafire.com","0","0","1"
"72","BARANI FIRE","admin@baranifire.in
sales@baranifire.in",,,," 91 -9344643289
9345237019
9500204101","Madurai","security and automation","10","Access Control","1","Bosch","23","Dealers","We have a unique facility called Annual Maintenance Contract under which we depute our service technicians to visit your premises and service the fire extinguishers on regular intervals. After the service we shall submit you a report in which we shall give you the details of spares missing if any, refilling due if any, any major or minor observations.Shortly we are going to launch Techno Services Mobile App which will help us to give the information about the extinguisher instantly to the customers.","1992","No 1-2|171 South street
Alanganallur vali 
Alagapuri post
Madurai - 625 001","625001","barani.jpg","www.baranifire.in","0","0","1"
"73","SPG ware Housing","spgsakthi@gmail.com|
spgwarehousing@gmail.com",,,,"9843115959","Madurai","Sanitary Ware","6","bathroom","1","axor","15","Dealers","SPG group has its business in fields like
 Rice bran trading- Rice milling-Rice trading-
Transport and Warehousing.We are a 
warehouse and logistics service provider 
established in 2009 as part of SPG Group.","2009","No -123|1- Avanya Puram 
Bye Pass Road- Kamarajar Nagar- 
Madurai- Near Jayavilas Petrol Bunk- Half Kilometre- Madurai Ho- Madurai.","625001",,,"0","0","1"
"74","Sri Somi Enterprises","info@eros.net.in- erossanitary@yahoo.co.in",,,"452-4231346- 2340565","9944998824","Madurai","Sanitary Ware","6","bathroom","1","eros","49","Dealers","In 1993- we opened our first showroom-
 under the nameSRI SOMI ENTERPRISES.
 This showroom was located in West Masi Street - 
Madurai. Founded two decades ago- with a single 
minded vision- to be the best in providing the best 
products to our valuable customer for their 
complete solution about total plumbing- 
waterline- sewage sanitary ware and wellness products.","2002","No 29- West Masi Street- 
Madurai Bazaar- Madurai","625001","Sri-Somi-Enterprises.jpg","www.smartplumbingsolution.com","0","0","1"
"75","Deni Trading Company",,,,,"9942388836","Madurai","Sanitary Ware","6","bathroom","1","cera","28","Dealers","A tile is a manufactured piece of hard-wearing 
material such as ceramic- stone- metal- or even glass. 
Tiles are generally used for covering roofs- floors- 
walls- showers- or other objects such as tabletops.","2009","No 1- Opposite Mallikai Coffee Bar- 
Chinna Chokkikulam- 
Abdul Kabakan Street -
 1st Floor- Madurai Ho- Madurai","625001","Deni-Trading-Company.jpg",,"0","0","1"
"76","Sri Ashok Ceramics","www.sriashokceramics.com",,,,"-9843022698","Madurai","Sanitary Ware","6","bathroom","1","parryware","126","Dealers","A popular name in the marketSri Ashok 
Ceramicsis deeply engaged in supplying all kinds 
of high-quality ceramic wall- floor tiles- Gres 
Porcellanato- sanitary ware-and many more.","2005","41- Palam Station Road- 
Sellur-madurai","625002",,,"0","0","1"
"77","Lakshmi Ceramics","Lakshmi-Ceramicscbe@gmail.com",,,"452-2382233- 4500625","88704 47733","Madurai","Sanitary Ware","6","bathroom","1","hindware","75","Dealers","Lakshmi Ceramics was started in May 1997
 with an area of 400 sq.ft for distribution of 
ceramic tiles. By serving the customer?s needs 
and measuring the potentials of ceramic industry- 
Lakshmi Ceramics went on an expansion with 
high velocity - brand wise- showroom wise and logistics wise.","2012","No 218- Theni Main Road- 
P P Chavadi- Kalavasal- Madurai","625016","Lakshmi-Ceramics.jpg","www.Lakshmi-Ceramics.org","0","0","1"
"78","Taha Sanitary Stores",,,,,"9841048802- 9884519575","Madurai","Sanitary Ware","6","bathroom","1","hindware","75","Dealers","Taha Sanitary Stores was started in May 1989
 with an area of 400 sq.ft for distribution of 
ceramic tiles. By serving the customer?s needs 
and measuring the potentials of ceramic industry- 
Taha Sanitary Stores went on an expansion with 
high velocity - brand wise- showroom wise and logistics wise.","1989","64|18a- Near Virudhunagar School- Krishnapuram 4th Street- Kamarajar Salai- Madurai.","625009",,,"0","0","1"
"79","HIRAN PIPE HOUSE ","hiranpipehouse@yahoo.co.in",,,,"98430 64265","Madurai","Sanitary Ware","6","kitchen","2","jaquar","83","Dealers","In 1987- we opened our first showroom-
under the name HIRAN PIPE HOUSE 
This showroom was located in West Masi 
Street -Madurai.  Founded two decades ago-
with a single minded vision- to be the best
in providing the best products to our valuable
customer for their complete solution about 
total plumbing- waterline- sewage 
sanitary ware and wellness products.","1987","No 93-West Masi Street- 
Town Hall Road Corner- 
Town Hall Road- Madurai City-
 Madurai","625001",,,"0","0","1"
"80","Sri Somi Enterprises",,,,"452-4231346- 2340565","9944998838- 9944998824","Madurai","Sanitary Ware","6","Kitchen","2","Hindware","75","Dealers","In 1993- we opened our first showroom-
under the name SRI SOMI ENTERPRISES.
This showroom was located in West Masi 
Street -Madurai.  Founded two decades ago-
with a single minded vision- to be the best
in providing the best products to our valuable
customer for their complete solution about 
total plumbing- waterline- sewage 
sanitary ware and wellness products.","2002","No 29- West Masi Street- Madurai Bazaar- 
Madurai -","625001","Sri-Somi-Enterprises.jpg","www.smartplumbingsolution.com","0","0","1"
"81","Lakshmi Ceramics",,,,"452-2382233- 4500625","8870447733- 9994979635- 9940272852","Madurai","Sanitary Ware","6","Kitchen","2","Hindware","75","Dealers","Lakshmi Ceramics was started in May 1997
 with an area of 400 sq.ft for distribution of 
ceramic tiles. By serving the customer?s 
needs and measuring the potentials of 
ceramic industry- Lakshmi Ceramics 
went on an expansion with high velocity - 
brand wise- showroom wise and logistics wise.","2012","No 218- Theni Main Road- P P Chavadi- 
Kalavasal- Madurai ","625016","Lakshmi-Ceramics.jpg","www.Lakshmi-Ceramics.org","0","0","1"
"82","Taha Sanitary Stores",,,,,"9841048802- 9884519575","Madurai","Sanitary Ware","6","Kitchen","2","Hindware","75","Dealers","In Taha Sanitary Stores- Shops are designed in manner to make 
them affordable. Low Prices with good 
designs and functionality will never go 
out of style. Inba designers combine 
affordability and Individual choice to 
enable each Concern to choose a vibrant 
model unique to the Basic structure 
of Kitchen and family.","1989","64|18a- Near Virudhunagar School- 
Krishnapuram 4th Street- Kamarajar Salai- 
Madurai - ","625009",,,"0","0","1"
"83","Jothimani Traders",,,,"452-2689100","9443692654","Madurai","Sanitary Ware","6","Kitchen","2","Hindware","75","Dealers","Jothimani Traders has its business in fields like
 Rice bran trading- Rice milling-Rice trading-
Transport and Warehousing.We are a 
warehouse and logistics service provider 
established in 2009 as part of SPG Group.","2010","1|248-theivanai complex- near xtream 
showroom- new natham road- Iyer Bungalow- 
Madurai -","625014",,,"0","0","1"
"84","Inba Modular Kitchen","inbamodularkitchen@gmail.com",,,,"9843026041- 9047026041","Madurai","Sanitary Ware","6","Kitchen","2","Jaquar","83","Dealers","Our well designed and functional 
Modular Kitchens and Interiors- Office and 
Shop interiors are Really Comfortable as 
well as Beautiful. Our kitchens- Offices- 
Shops are designed in manner to make 
them affordable. Low Prices with good 
designs and functionality will never go 
out of style. Inba designers combine 
affordability and Individual choice to 
enable each Concern to choose a vibrant 
model unique to the Basic structure 
of Kitchen and family.","2008","No 110- Near Hnts Mahal- Vaigai Colony East- 
Anna Nagar Madurai- Madurai.","625020","INBA-MODULAR-KITCHEN.jpg",,"0","0","1"
"85","Maya Interior Designer","mayainteriorsiva@gmail.com",,,,"7806869343","Madurai","Flooring","1","wooden flooring","4","Ego Floor","45","Dealers","Established in the year2011, 
MayaInterioris one of the leading
 service providers in the fieldof
interior design and furnishing products.
We are well known manufacturer and 
supplier of assortment of Window Curtains, 
Window Vertical Roller Blinds, Roman Type Blinds, 
Triple Shade Blinds, Exterior PVC Blinds, 
Bamboo Blinds, Panel, Hony Comb Blinds, 
Imported Wall Paper, Wooden Flooring,
 Curtain Rods, Tracks, Fitting etc,.","2011","33 BTPK Road
 Pykara
 Near Bharath Petroleum
madurai","625004","Maya-Interior.jpg","www.mayainterior.in","0","0","1"
"86","Quality Tiles And Flooring ",,,,"9159148000","9442100448","Madurai","Flooring","1","wooden flooring","4","Armstrong","9","dealers","?Quality Stone is Madurai based granite 
factory engaged in manufacturing, 
exporting and supplying locally high 
quality granites sourced from different 
quarries. Our company was established 
in 2009 by Mr. Sachin Garg. As he has 
already survived 3 years in the stone business, 
he is able to give his best efficiency 
from first contact with the clients 
right through to completion.","1999","No 39|2 A 2 
Near Vickram Hospital 
Karuppayurani Village 
Sivagangai Main Road 
Anna Nagar Madurai
 Madurai. ","625020","Quality-Tiles-And-Flooring.jpg","www.Qualitystoneindia.com","0","0","1"
"87","Maya Interior Designer","mayainteriorsiva@gmail.com",,,,"7806869343","Madurai","Flooring","1","laminated flooring","1","Armstrong","9","Dealers","Established in the year2011, 
MayaInterioris one of the leading
 service providers in the fieldof
interior design and furnishing products.
We are well known manufacturer and 
supplier of assortment of Window Curtains, 
Window Vertical Roller Blinds, Roman Type Blinds, 
Triple Shade Blinds, Exterior PVC Blinds, 
Bamboo Blinds, Panel, Hony Comb Blinds, 
Imported Wall Paper, Wooden Flooring,
 Curtain Rods, Tracks, Fitting etc,.","2011","33 BTPK Road
 Pykara
 Near Bharath Petroleum
madurai","625004","Maya-Interior.jpg","www.mayainterior.in","0","0","1"
"88","Navie Teknokem","info@navieteknokem.com",,,,"9364448667","Madurai","Flooring","1","laminated flooring","1","Responsive-industries","142","Dealers","NAVIE TEKNOKEMsince
incorporated in the year 1995,
 the Company has created a 
name for itself and is involved
 in spectrum of activities like
 Industrial Flooring,
 Waterproofing, Repairs and Rehabilitation
 and Acidproof Treatments etc.,","1995","No 178 Geethanjali 
Near Lakshmi Mills Signal 
D P F Street 
Pappanaickenpalayam
 MADURAI","641 037",,,"0","0","1"
"89","JRC INTERIORS","jrcinteriorsmdu@yahoo.com ",,,,"9965333305","Madurai","Flooring","1","laminated flooring","1","Notion Floor","118","Dealers","JRC Interiors was started in 2008 and has 
been involved in supplying interior designing 
works and interior works all over Tamilnadu. 
We undertake and execute these services as 
per the suggestions laid out by our esteemed 
customers. Our experts are well experienced 
in this domain and assist us to serve various 
residential, commercial and industrial sectors 
with proficient interior designing services.","2008","#1P.T.Rajan Road
1st Street(opp.Arasan Sweets)
Narimedu MaduraiTamilnaduSouth India.","625002","JRC-INTERIORS.jpg","www.jrcinteriorsmdu.com","0","0","1"
"90","MILAN TRADING
 CORPORATION","milanmdu@gmail.com",,,"2347514-2345032-4231026-4231027","9443045032-9344104951","Madurai","Flooring","1","vinyl flooring","3","Surfaces India","164","Dealers","Milan Trading Corporation are one of the leading 
consultants of ceiling solutions in Madurai. 
Our company offer reliable solutions and products
 to the clients. The array of our products and services
 include fall ceiling, designer fall ceiling, round fall 
ceiling, PVC fall ceiling and zip board fall ceiling. 
Our quality assured services have won us unrivaled 
success in the industry. ","2013","No 69 (Upstairs)South Masi Street 
MaduraiTamilnadu India","625001","Milan-Trading-Corporation.jpg",,"0","0","1"
"91","Kings Interior","kingsinterior2000@gmail.com",,,"2484481","9198430 18481- 9198421 18481","Madurai","Flooring","1","vinyl flooring","3","Surfaces India","164","Dealers","Welcome to Kings Interior Interior Designers
 in Madurai, Tamil Nadu, India. Introduction to 
Interior Design Services Interior Decorators in 
Madurai,Tamil Nadu, India. A prestigious interior 
designing, interior design planning, interior 
architectural planning and designing, home and 
office interior designing, Kings Interior exemplifies 
creativity in every sense of the word.","2010","No 2 and 3 Opposite To Seethalakshmi Mill
 Gst Main Road Sowbackkiya Nagar 
Thirunagar Madurai HO Madurai .","625001","king-interior.jpg","www.kingsinterior.com","0","0","1"
"92","glazeware","glazeware@gmail.com",,,,"94860 44244","Madurai","Flooring","1","tile","2","Rak Ceramics","137","dealers","Glazeware India is one of the leading trading
 hubs for Ceramic Wall|Floor Tiles, 
Vitrified Tiles, Double Charged|Multi Charged
Vitrified Tiles, Ceramic Designer Tiles,
Parking Tiles and Sanitarywares. 
We are trend setters in the market of 
Tile and Sanitaryware products because we 
constantly strive in bringing in the new and 
niche products to the market within a week 
of production. We have remained loyal to our 
core values in serving our customers with 
the most powerful factors of business 
?QSS? ? Quality, Supply and Service. 
In the year 1997, we started as a small marketing 
company only concentrating on ceramic wall tiles. ","1997","No: 3-D Dindigul Main Road
Opp. Fathima CollegeNear Dhina Bhoomi OfficeMadurai","625 018","GLAZEWARE.jpg",,"0","0","1"
"93","tilez studiio","tilezstudio@gmail.com",,,,"0452-2344944.","Madurai","Flooring","1","tile","2","Johnson","87","dealers","Welcome to TILEZ STUDIO We are the 
leading tiles in seller in Madurai holding two
branches and with Seven years of experiance
in Construction Industry. Our wide showroom
carries many leading brand Tiles,Sanitarywares
and Sinks, as giving a better quality and a better
service to our customers. we are in proud with 
our huge customers testimonials, recommendations
and repeated business ensures we are moving 
decade in tiles and sanitarywares industry in Madurai.","2003","No. 58 4th Floor 
Goodshed Street Goods Shed St Madurai Main","625001","TILEZ-STUDIO.jpg",,"0","0","1"
"94","PUZHAL CERAMICS",,,,,"9842111020","Madurai","Flooring","1","tile","2","Nitco","115","dealers","Recently, the company bested themselves 
when they introduced their own line of 
designed vitrified tiles that are stylish 
and innovative. These particular tiles 
that the company has introduced into 
the market are not found elsewhere. 
Aside from selling top notch brands from 
leading companies, PUZHAL CERAMICS 
also offers a variety of other services to 
its customers that include professional 
installation guidelines thanks to the highly 
trained technicians on the company?s payroll.",,"162- A Near Ganesh
 TheatreKamarajar
 Salai Madurai
Tamilnadu India","625009",,,"0","0","1"
"95","SRINIVASA MARBLES","sathiyameen@gmail.com",,,,"9443041397","Madurai","Flooring","1","tile","2","Johnson-marbonite","88","dealers","Srinivasa Marbles is one of the largest 
showroom located at Christ A G Church, 
Near St. Mary?s Agricultural Farm, 
Gomathipuram, Sivagangai Road, Madurai. 
This is a 15 years based concern. 
We deals with all kinds of Marbles, 
Granites, Tiles and Bathfittings etc. 
We are as also stockists for many products.",,"SRINIVASA MARBLESNear St. 
Mary?s Agricultural Farm -
Christ A G Church
GomathipuramSivagangai Road 
Madurai 
Tamilnadu India","625020","srinivasa-marbles.jpg",,"0","0","1"
"96","GM Trading","gmtrading@rediffmail.com",,,"4377111-
 4378111- 
2342168",,"Madurai","Flooring","1","tile","2","Somany-ceramics","159","dealers","GM Trading is established in the year
 1996 to cater the elite customers of 
madurai and surrounding areas.Our Motto is 
to Service Customers with world class Quality
 Building Materials and Bathroom Accessories 
at most affordable price.","1996","GM TRADING
7-A Goods Shed Strret Madurai","625 001","GM-TRADING.jpg",,"0","0","1"
"97","cvs granites","sales@cvsgranites.com",,,,"98659 97777","Madurai","Flooring","1","tile","2","Kajaria","89","dealers","We proudly introduce ourselves as a new
entrepreneur in the multicolored granite 
cutting and polishing industry. We have 
set up the factory under the name and 
style ?CVS GRANITES? near Varichiyur 
situated just 17 km east from Madurai 
town, Tamilnadu, India.","2009","49 | 1A  Sengottai Vilaku
Sivagangai Road
Madurai
","625 020","cvs-granites.jpg",,"0","0","1"
"98","Vinoth Ceramics","vinothceramics@gmail.com",,,"4243927","9345711112- 
9361711112","Madurai","Flooring","1","tile","2","Kajaria","89","dealers","Vinoth Ceramics has massive experience
in this business. We are in this field for 
several years.Our motto has always been 
timely supply, best quality and optimum cost. 
We are in touch with our customers through 
quality, performance, service and assistance.","2010","No 159 B 6 Kamaraj Salai
 Renganayagi Ammal Street 
Madurai Ho Madurai.","625001","vinoth-ceramic.jpg",,"0","0","1"
"99","smk plywoods ","smkplywoods@gmail.com",,,"2672340",,"Madurai","glass and plywood","2","plywood","2","Centuryply","27","dealer","SMK Plywoods represents an immaculate
 fusion of the best of quality and creativity.
 It offers you products with flawless finish, 
making your house an aesthetic masterpiece.","2000","107 2nd Main Road Jaihindpuram Madurai","625011","SMK-Plywoods.jpg",,"0","0","1"
"100","PUZHAL CERAMICS",,,,,"9842111020","Madurai","Flooring","1","tile","2","Nitco","115","dealers","Recently, the company bested themselves 
when they introduced their own line of 
designed vitrified tiles that are stylish 
and innovative. These particular tiles 
that the company has introduced into 
the market are not found elsewhere. 
Aside from selling top notch brands from 
leading companies, PUZHAL CERAMICS 
also offers a variety of other services to 
its customers that include professional 
installation guidelines thanks to the highly 
trained technicians on the company?s payroll.",,"162- A Near Ganesh
 TheatreKamarajar
 Salai Madurai
Tamilnadu India","625009",,,"0","0","0"
"101","THIRUVENKADAM SUPPLAIERS","tsupplaiers@rediffmail.com",,,,"9600751430- 9360263611- 9003398266","Madurai","glass and plywood","2","plywood","2","Mayur","105","dealer","THIRUVENKADAM SUPPLAIERS represents an immaculate
 fusion of the best of quality and creativity.
 It offers you products with flawless finish, 
making your house an aesthetic masterpiece.","1999","THIRUVENKADAM SUPPLAIERS249 Aruppukottai Main Road Near Vetri Theatre
Villapuram MaduraiTamilnadu India","625012","Thiruvenkadam-Suppliers.jpg",,"0","0","1"
"102","smk plywoods ","smkplywoods@gmail.com",,,"2672340",,"Madurai","glass and plywood","2","glass","1","Ais","3","dealer","SMK Plywoods represents an immaculate
 fusion of the best of quality and creativity. 
It offers you products with flawless finish, 
making your house an aesthetic masterpiece.","2000","107 2nd Main Road Jaihindpuram Madurai","625011","SMK-Plywoods.jpg",,"0","0","1"
"103","NARAYANA GLASS HOUSE","vmnglass@yahoo.com",,,,,"Madurai","glass and plywood","2","glass","1","Hng","76","dealer","Since 1947 My Grandfather Mr.Narayana
 Nadar started this business in the firm name 
of Narayana Glass House and runned successfully 
at 306, West Masi Street, Madurai-01. I am 
Mr.S. Raja Narayanan his grand son continuing 
this business located in the same place at madurai. 
We have been satisfying many of customers 
around the tamilnadu for more than 60 years.","1947","NARAYANA GLASS HOUSE306
West Masi Street Madurai
","625001",,,"0","0","1"
"104","THIRUVENKADAM SUPPLAIERS","tsupplaiers@rediffmail.com",,,,"9600751430- 9360263611- 9003398266","Madurai","glass and plywood","2","glass","1","Mayur","105","dealer","THIRUVENKADAM SUPPLAIERS represents an immaculate
 fusion of the best of quality and creativity.
 It offers you products with flawless finish, 
making your house an aesthetic masterpiece.","1999","THIRUVENKADAM SUPPLAIERS249 Aruppukottai Main Road Near Vetri Theatre
Villapuram MaduraiTamilnadu India","625012","Thiruvenkadam-Suppliers.jpg",,"0","0","1"
"105","Elite Power Systems India Private Limited","epschennai@eliteups.in 
ho@eliteups.in 
admin@eliteups.in",,,"
(91)-7708339089","(91)-452-4391444","Madurai","power backup","8","Batteries","1","Su-Kam","161","Distributor","ELITE a Leading Power Conditioning company engaged in manufacturing Online UPS system and Servo Stabilizers, Elite is an industrial leader and a reliable power solutions partner. Elite provides excellent power backup through its Total Power Management solutions.","2009","No 27|10
Muthuramalinga Devar Street
Anna Nagar
Madurai","625020","elite.jpg","www.eliteups.in","0","0","1"
"106","Sharpp Electricals","info@sharppelectricals.com",,,"(91)-452-4355148","(91)-9943989148
 9894486849","Madurai","power backup","8","Batteries","1","Luminous","102","Dealers","Sharpp Electricals started in Madurai to satisfy customer with the ability and loyalty. Sharp Electronics constantly improve a range of electrical products like UPS, Inverters, Stabilizers and Batteries etc. and delivers widely to the our valuable customers.","2006","No 185 A
Opposite Sethupathy School
North Veli Street
Madurai HO
Madurai.","625001","Sharpp.jpg","www.sharppelectricals.com","0","0","1"
"107","Sharpp Electricals","info@sharppelectricals.com",,,"(91)-452-4355148","(91)-9943989148
 9894486849","Madurai","power backup","8","Batteries","1","Exide","53","Dealers","Sharpp Electricals started in Madurai to satisfy customer with the ability and loyalty. Sharp Electronics constantly improve a range of electrical products like UPS, Inverters, Stabilizers and Batteries etc. and delivers widely to the our valuable customers.","2006","No 185 A
Opposite Sethupathy School
North Veli Street
Madurai HO
Madurai.","625001","Sharpp.jpg","www.sharppelectricals.com","0","0","1"
"108","Rajham Batteries","rajhambattery@yahoo.co.in",,,,"(91)-9487566265
 9443066265","Madurai","power backup","8","Batteries","1","True Power","174","Dealers","Rajham Batteries was founded in the year 1998 with PRESTOLITE Automotive and UPS batteries situated in a centrally located area in Madurai. Our prime aim was to cater to the Madurai market with quality product and prompt service.","1997","No 99 A 
Near Bus Stand 
Vakkil New Street 
Madurai City","625001","Raajham.jpg","www.rajhamgroup.com","0","0","1"
"109","True power Equipments","info@truepowersmadurai.com",,,,"(91)-9842115453
 9842760674","Madurai","power backup","8","Batteries","1","Exide","53","Distributor","True power equipments is a Market leader in the Un-interruptible Power Supplies and associated power conditioning products in Down south, A reliable power solutions partner for the entire spectrum of user -segments, True powers provides protection with power continuity at its best, to ensure maximum uptime for all critical equipment by means of world-class power conditioning products.","2003","No 13|7
Opposite TVS Service 
Bavasa Lane South Marret Street 
Madurai Ho ","625001","truepower.jpg","www.truepowersmadurai.com","0","0","1"
"110","True power Equipments","info@truepowersmadurai.com",,,,"(91)-9842115453
 9842760674","Madurai","power backup","8","Batteries","1","Su-Kam","161","Distributor","True power equipments is a Market leader in the Un-interruptible Power Supplies and associated power conditioning products in Down south, A reliable power solutions partner for the entire spectrum of user -segments, True powers provides protection with power continuity at its best, to ensure maximum uptime for all critical equipment by means of world-class power conditioning products.","2003","No 13|7
Opposite TVS Service 
Bavasa Lane South Marret Street 
Madurai Ho ","625001","truepower.jpg","www.truepowersmadurai.com","0","0","1"
"111","Amarnath Enterprises","tauto.ho@gmail.com",,,,"(91)-9943970709
9943970701","Madurai","power backup","8","Batteries","1","Exide","53","Dealers","The showroom gives you a rich environment where you can choose from largest range of EXIDE Batteries. On display is the widest Range of EXIDE Batteries in Madurai in both Automotive Series and the Industrial Series. Also you can assured of the prompt supply as the stocks are always adequate.","1948","AmarnathEnterprises
220 South Veli Street
Madurai ? 625001","625001",,"www.tauto.in","0","0","1"
"112","Madurai Sai Engineering Company","sales@saiengg.in",,,"
(91)-452-4378800
 4378804","(91)-9894011334-
9894711775","Madurai","power backup","8","Generator","2","Ashok Leyland","11","Dealers","Excite our customers by satisfying their needs competitively in time.
Ensure the growth of our organization along with employee?s fulfillment.
Establish cordial relationship with our principals.","2007","No 44 Near Town Hall Road
 Kakathope Street
 Madurai Ho ","625001","maduraisai.jpg","www.saiengg.in","0","0","1"
"113","Gentech Power System",,,,,"(91)-9443262221-
9787502220","Madurai","power backup","8","Generator","2","Mahindra","104","Dealers","Client Satisfaction For Gentech Power Systems client satisfaction is the main motto. We are pledged in delivering quality passed product to the customer. After the manufacturer wing?s work is done, is when quality controller and analysts come into action. They stringently test these products number of times before the final product is delivered to the patron.","2012","1 Nagu Nagar 2nd Street
Bethainiya Puram
Madurai","625001","gentech.jpg","www.gentechpowersystems.net","0","0","1"
"114","sree balaji power system","sreebalajipower@yahoo.in",,,"0452 - 4377668 
4351222 
4524222 
4374222
2386645 ",,"Madurai","power backup","8","Generator","2","Exide","53","Dealers","Since incorporated, the company?s main goal is to offer products and services at reasonable price range without compromising on the quality and performance of the product range. The company also provides prompt and quick after sales and before sales services to its consumers","2010","No 146 
Near Kalavasal
 Theni Main Road PP Chavadi
 Madurai Ho
 Madurai - 625001","625001","sreebalaji.jpg","www.sreebalajipowersystem.com","0","0","1"
"115","Sunbeam Generators Pvt Ltd","info@sunbeampower.com
admin@sunbeampower.com",,,,"(91)-9444929710
9444929610","Madurai","power backup","8","Generator","2","Kirloskar","92","Dealers","We firmly believe in right fully paying back to society what it deserves by our unstinting efforts in delivering a socio - commercial brand rendered with a technological face, embodying top-notch products that sustain and nurture the industry and the home.","2002","Plot No Lig 1
Tnhb Colony Villapuram
Madurai HO
Madurai - 625001 ","625001","sunbeam.jpg","www.sunbeampower.com","0","0","1"
"116","Kannalagan Group of companies","raj50052@gmail.com",,,"(91)-452-2437495","(91)-9842150052
 9842150055
 9842150057","Madurai","power backup","8","Generator","2","Ashok Leyland","11","Distributor","Our core business is trading of used spares parts of heavy and light commercial vehicles for the past 40 years in Madurai under the name n kannalagan company. We deal with following brands like ashok leyland tata, etcher, Volvo, caterpillar and man. We established our company to national level right from beginning. We supply to large fleet operators and some.","1973","No 108 
Near Simakkal Bus Stop 
Vakkil New Street 
Madurai HO ","625001","kannalagan.jpg","www.autoking.in","0","0","1"
"117","Sharpp Electricals","info@sharppelectricals.com",,,"(91)-452-4355148","(91)-9943989148
 9894486849","Madurai","power backup","8","inverter","3","Su-Kam","161","Dealers","Sharpp Electricals started in Madurai to satisfy customer with the ability and loyalty. Sharp Electronics constantly improve a range of electrical products like UPS, Inverters, Stabilizers and Batteries etc. and delivers widely to the our valuable customers.","2006","No 185 A
Opposite Sethupathy School
North Veli Street
Madurai HO
Madurai.","625001","Sharpp.jpg","www.sharppelectricals.com","0","0","1"
"118","Elite Power Systems India Private Limited","epschennai@eliteups.in 
ho@eliteups.in 
admin@eliteups.in",,,"(91)-452-4391444","
(91)-7708339089","Madurai","power backup","8","inverter","3","Su-Kam","161","Distributor","ELITE a Leading Power Conditioning company engaged in manufacturing Online UPS system and Servo Stabilizers, Elite is an industrial leader and a reliable power solutions partner. Elite provides excellent power backup through its Total Power Management solutions.","2009","No 27|10
Muthuramalinga Devar Street
Anna Nagar
Madurai","625020","elite.jpg","www.eliteups.in","0","0","1"
